quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,PPP-weighted World real GDP,Oil price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price inflation,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,Brazil real GDP,China real GDP,China household income,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,South Africa real GDP,South Korea real GDP,period_kind,UK nominal GDP index
Q1 2000,341636.0,252686.0,92.4,5.8,114880.3,179661.0,40.4,,,,88.6,5.9,125.2,555.0,8.4,14.5,8.7,55.8,26.9,23.1,117.5,105.9,85.1,83.7,83.9,58.4,1.9,9.5,3.2,65.6,69.4,75.1,4.0,69.2,5.7,57.4,45.1,125.0,503.0,67.2,23.4,,,57.2,5.8,32.9,21.0,,44.7,63.2,54.2,history,53.53747205653124
Q2 2000,344025.0,256212.0,93.1,5.5,114483.2,181187.0,41.0,,,,87.4,6.0,143.4,615.9,8.5,14.1,12.8,56.4,26.9,24.9,118.5,101.0,85.9,84.4,84.7,59.9,1.9,9.1,3.8,66.4,71.9,76.5,3.9,70.5,6.3,58.8,44.5,165.0,596.0,67.6,24.1,,,57.3,5.2,30.7,20.1,,45.7,63.8,55.0,history,54.284538085006616
Q3 2000,345374.0,259100.0,93.1,5.3,113782.9,185961.0,41.1,,,,90.1,6.0,144.3,673.8,8.2,13.1,16.9,56.9,30.4,19.2,117.9,97.5,86.3,84.9,84.6,61.6,2.2,8.9,4.3,67.2,72.9,76.6,4.0,71.9,6.5,60.0,49.2,169.0,632.0,68.2,25.1,,,57.9,4.9,29.7,18.8,,47.1,64.4,56.5,history,54.8964288082729
Q4 2000,346576.0,259570.0,93.7,5.2,111620.3,189226.0,41.8,,,,87.6,6.0,130.9,857.0,8.0,12.6,12.6,57.3,29.5,26.1,120.2,95.4,87.0,85.6,84.7,63.3,2.5,8.6,4.7,68.2,74.5,77.1,3.9,66.6,6.5,61.4,50.9,189.0,812.0,69.1,26.1,,,58.4,4.5,28.7,18.8,,47.4,64.9,56.1,history,54.99600936226706
Q1 2001,350471.0,262050.0,93.2,5.1,110272.5,193115.0,42.7,,,,84.1,5.9,127.2,734.7,8.1,11.5,11.9,57.4,25.7,25.7,114.2,96.2,87.8,86.2,86.1,64.0,2.0,8.4,4.8,69.1,74.7,76.8,4.2,62.0,5.6,62.6,50.2,182.0,801.0,69.4,25.6,,,58.2,4.5,27.6,18.7,,47.1,65.4,56.6,history,55.52145568972564
Q2 2001,353126.0,267337.0,94.5,5.0,114653.9,192600.0,44.2,,,,81.3,5.4,118.8,735.3,8.4,12.1,9.9,57.8,27.3,23.9,117.5,93.7,87.8,86.2,86.1,64.0,2.9,8.4,4.6,70.0,76.0,77.2,4.4,60.1,4.3,63.6,49.9,163.0,806.0,69.2,26.1,,,58.1,4.5,27.6,18.0,,46.1,65.7,57.5,history,56.641630985400425
Q3 2001,355392.0,267982.0,94.5,5.1,114634.5,195384.0,45.7,,,,74.0,5.1,114.9,795.8,9.2,12.8,6.6,58.2,25.2,25.7,116.5,94.8,87.9,86.5,85.9,64.6,2.4,8.4,4.4,71.0,77.0,77.0,4.8,56.3,3.6,64.7,50.8,159.0,847.0,68.6,27.1,,,58.1,4.8,26.8,16.7,,44.9,65.9,58.4,history,56.778289405243484
Q4 2001,356616.0,269650.0,94.6,5.2,115383.3,195009.0,47.1,,,,72.0,4.2,122.8,878.7,9.8,13.9,8.7,58.6,19.3,27.8,116.3,95.1,88.0,86.3,86.0,64.9,2.1,8.4,3.5,71.9,77.0,77.2,5.5,54.3,2.1,65.7,48.8,180.0,900.0,68.8,28.1,,,57.7,5.9,25.1,15.6,,45.2,66.4,59.2,history,57.131694435163205
Q1 2002,358033.0,274055.0,94.6,5.2,118656.9,197593.0,48.9,,,,72.9,4.0,107.5,858.2,10.5,15.2,5.0,59.0,21.0,21.4,117.4,94.1,88.2,86.8,85.7,66.5,2.5,8.5,3.3,73.4,77.6,77.9,5.7,55.2,1.8,66.8,49.4,173.0,786.0,70.1,27.9,,,57.8,6.8,25.1,15.6,,46.8,67.2,60.6,history,58.06499728695959
Q2 2002,360932.0,278105.0,95.4,5.2,120446.0,201709.0,51.6,,,,71.5,4.0,100.2,697.3,11.4,15.1,3.0,59.5,25.1,21.6,114.9,96.4,88.7,87.3,85.9,67.6,2.1,8.6,3.3,74.7,77.6,78.4,5.8,52.1,1.8,68.4,48.9,178.0,737.0,70.3,28.4,,,58.6,7.3,24.6,15.1,,48.2,68.0,61.8,history,58.9230850394625
